
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|F347|Tympanuchus pallidicinctus|B2|Male|Adult|Texas|735|SSOPR|Southern|3/23/19|2019|
|F353|Tympanuchus pallidicinctus|MeadeLauppe|Male|Adult|Kansas|765|MGPR|Northern|4/17/21|2021|
|F354|Tympanuchus pallidicinctus|MeadeLauppe|Male|Juvenile|Kansas|735|MGPR|Northern|4/17/21|2021|
|F355|Tympanuchus pallidicinctus|MeadeLauppe|Male|Adult|Kansas|750|MGPR|Northern|4/18/21|2021|
|F367|Tympanuchus pallidicinctus|MeadeLauppe|Male|Juvenile|Kansas|725|MGPR|Northern|4/17/21|2021|
|F369|Tympanuchus pallidicinctus|MeadeLauppe|Male|Adult|Kansas|780|MGPR|Northern|4/18/21|2021|
|F370|Tympanuchus pallidicinctus|BOXCAR|Male|Adult|Kansas|705|MGPR|Northern|3/16/13|2013|
|F372|Tympanuchus pallidicinctus|SOUTH BEOUGHER|Male|Adult|Kansas|759|SHGPR|Northern|3/17/13|2013|
|F373|Tympanuchus pallidicinctus|N BOXCAR|Male|Adult|Kansas|800|MGPR|Northern|3/17/13|2013|
|F374|Tympanuchus pallidicinctus|N BOXCAR|Male|Adult|Kansas|695|MGPR|Northern|3/17/13|2013|
|F375|Tympanuchus pallidicinctus|SPRING LEK|Male|Adult|Kansas|760|SHGPR|Northern|3/19/13|2013|
|F376|Tympanuchus pallidicinctus|SPRING LEK|Male|Adult|Kansas|835|SHGPR|Northern|3/19/13|2013|
|F377|Tympanuchus pallidicinctus|CENTRAL YORK|Female|Adult|Kansas|792|SHGPR|Northern|3/19/13|2013|
|F378|Tympanuchus pallidicinctus|CENTRAL YORK|Male|Adult|Kansas|790|SHGPR|Northern|3/19/13|2013|
|F379|Tympanuchus pallidicinctus|CENTRAL YORK|Female|Adult|Kansas|742|SHGPR|Northern|3/19/13|2013|
|F380|Tympanuchus pallidicinctus|CENTRAL YORK|Female|Juvenile|Kansas|792|SHGPR|Northern|3/19/13|2013|
|F381|Tympanuchus pallidicinctus|N BOXCAR|Male|Adult|Kansas|830|MGPR|Northern|3/19/13|2013|
|F382|Tympanuchus pallidicinctus|YALE|Male|Juvenile|Kansas|786|SHGPR|Northern|3/20/13|2013|
|F384|Tympanuchus pallidicinctus|YALE|Male|Adult|Kansas|832|SHGPR|Northern|3/20/13|2013|
|F385|Tympanuchus pallidicinctus|MIDDLE|Male|Adult|Kansas|780|MGPR|Northern|3/20/13|2013|
|F386|Tympanuchus pallidicinctus|MIDDLE|Male|Juvenile|Kansas|745|MGPR|Northern|3/20/13|2013|
|F388|Tympanuchus pallidicinctus|NE BEOUGHER|Male|Adult|Kansas|830|SHGPR|Northern|3/21/13|2013|
|F389|Tympanuchus pallidicinctus|SPRING LEK|Male|Adult|Kansas|800|SHGPR|Northern|3/21/13|2013|
|F390|Tympanuchus pallidicinctus|SPRING LEK|Male|Adult|Kansas|800|SHGPR|Northern|3/21/13|2013|
|F391|Tympanuchus pallidicinctus|SPRING LEK|Male|Adult|Kansas||SHGPR|Northern|3/21/13|2013|
